store_name,item_name,brand,package_size,unit,price,category,date_checked
safeway,milk,Lucerne,1,gallon,3.99,dairy,2025-01-15
safeway,milk,Organic Valley,0.5,gallon,4.49,dairy,2025-01-15
safeway,eggs,Lucerne,12,count,4.49,dairy,2025-01-15
safeway,eggs,Eggland's Best,18,count,6.99,dairy,2025-01-15
safeway,butter,Land O'Lakes,1,lb,5.99,dairy,2025-01-15
safeway,cheese,Tillamook Cheddar,8,oz,4.99,dairy,2025-01-15
safeway,yogurt,Chobani Greek,32,oz,5.49,dairy,2025-01-15
safeway,sour cream,Daisy,16,oz,3.29,dairy,2025-01-15
safeway,cream cheese,Philadelphia,8,oz,3.49,dairy,2025-01-15
safeway,bread,Oroweat Whole Wheat,24,oz,3.99,bakery,2025-01-15
safeway,bagels,Thomas',6,count,3.49,bakery,2025-01-15
safeway,tortillas,Mission Flour,10,count,2.99,bakery,2025-01-15
safeway,croissants,Safeway Bakery,6,count,4.99,bakery,2025-01-15
safeway,tomato,Organic,1,lb,2.99,produce,2025-01-15
safeway,tomatoes,Roma,1,lb,1.99,produce,2025-01-15
safeway,onion,Yellow,1,lb,1.29,produce,2025-01-15
safeway,onions,Red,1,lb,1.49,produce,2025-01-15
safeway,garlic,Whole Bulb,1,each,0.79,produce,2025-01-15
safeway,potato,Russet,5,lb,4.99,produce,2025-01-15
safeway,potatoes,Red,3,lb,3.99,produce,2025-01-15
safeway,carrot,Organic Baby,1,lb,2.49,produce,2025-01-15
safeway,carrots,Regular,2,lb,2.99,produce,2025-01-15
safeway,celery,Organic,1,bunch,2.49,produce,2025-01-15
safeway,lettuce,Romaine,1,head,2.99,produce,2025-01-15
safeway,spinach,Baby Spinach,10,oz,3.49,produce,2025-01-15
safeway,cucumber,English,1,each,1.99,produce,2025-01-15
safeway,bell pepper,Red,1,each,1.99,produce,2025-01-15
safeway,bell pepper,Green,1,each,1.49,produce,2025-01-15
safeway,broccoli,Fresh,1,lb,2.49,produce,2025-01-15
safeway,cauliflower,Fresh,1,head,3.99,produce,2025-01-15
safeway,mushroom,White Button,8,oz,2.99,produce,2025-01-15
safeway,mushrooms,Portobello,6,oz,3.99,produce,2025-01-15
safeway,avocado,Hass,1,each,1.49,produce,2025-01-15
safeway,lemon,Fresh,1,each,0.79,produce,2025-01-15
safeway,lime,Fresh,1,each,0.59,produce,2025-01-15
safeway,apple,Honeycrisp,1,lb,2.99,produce,2025-01-15
